,c,c_growth,sp500_ret_real,TBill_ret_real
1954-01-01,612.5753853026581,-0.030678518503507002,0.05094190317666225,-0.005292153262608568
1954-04-01,642.4057279236276,0.04869660671434106,0.1406413374057962,0.027776458328907738
1954-07-01,645.1005512850376,0.004194893109250586,0.04627954385010358,0.018903771598723473
1954-10-01,684.6431709460119,0.06129683129584307,0.13814135725706267,0.008457373464225482
1955-01-01,745.8426312215,0.08938884206049291,0.07682579150275748,-0.003167461171405539
1955-04-01,786.0853109853824,0.053955992965935895,0.025666041971460718,-0.0012043510294045268
1955-07-01,811.4192807957154,0.032228015784414143,0.13174450403064064,-0.004855625521868023
1955-10-01,790.0379633339057,-0.026350516887942543,0.04288088512788124,0.003132267408124223
1956-01-01,753.9862027024459,-0.04563294715525301,0.00037286940748781916,0.0019519270863477267
1956-04-01,755.1202306000151,0.0015040433014616994,-0.0012664229517266312,0.004207442474380763
1956-07-01,741.8589000635585,-0.017561879551179826,0.035713550130926475,-0.00797124934436777
1956-10-01,765.7403306761146,0.03219133801658236,-0.05224947641347022,-0.005486188104169232
1957-01-01,779.7649557003734,0.018315118666762276,-0.056309223818003074,-0.0003809019204935593
1957-04-01,761.4249860065363,-0.0235198691089733,0.06822663086559566,-0.006002989678954407
1957-07-01,756.1847665137781,-0.006882121796713991,-0.04065647727418942,0.008362834277475306
1957-10-01,747.3416717730598,-0.011694357162849722,-0.09156035927169481,0.006236226645019327
1958-01-01,697.6200594985125,-0.06653129907313116,-0.02292381476817118,-0.013116562822776734
1958-04-01,686.9232820695173,-0.015333242333491204,0.08166378033454746,0.0064369738884639816
1958-07-01,701.1711102409852,0.02074151298023108,0.0844144195626424,0.005203546438305784
1958-10-01,726.8424248919372,0.03661205414200408,0.10162967967215031,0.010254313671010262
1959-01-01,766.2693327247512,0.05424409264315533,0.039554921611176797,-0.010390764988245538
1959-04-01,795.106766233539,0.037633547732160766,0.04802578052436379,0.003576339337804324
1959-07-01,810.4808381871927,0.019335858536937645,0.004269063179183519,0.008886965171436056
1959-10-01,771.7600531970742,-0.047775077664668264,-0.0024514721319018884,0.010877552005074342
1960-01-01,796.5896743892608,0.03217272141688099,-0.04442166251849766,0.01097513131397787
1960-04-01,814.7173386672281,0.022756589572750396,-0.0009519049166257787,0.008570063537812977
1960-07-01,808.2013375571981,-0.00799786723661644,0.024598816356065978,0.008928704222433748
1960-10-01,787.891609809418,-0.02512953988565103,-0.029663359507211107,0.00748101638944676
1961-01-01,744.5795875198309,-0.054972056752912835,0.14683432580773026,0.0056643548592967274
1961-04-01,760.026667602372,0.020746042923355912,0.044411765039098716,0.0009723359936224529
1961-07-01,778.5811589646861,0.024412947799380857,0.019837191351409267,0.0011587881889951746
1961-10-01,816.3218913389408,0.04847372934690619,0.05395387442946453,0.007343173802498049
1962-01-01,834.0239531427573,0.021685148948757726,-0.022148524127261093,0.006590906395285812
1962-04-01,856.4319265222023,0.026867301946194244,-0.15522399131786857,0.005406403306750018
1962-07-01,862.6799171554379,0.007295373327110166,-0.01703619089924069,0.0037306137326162947
1962-10-01,900.649986021806,0.04401408692991127,0.06187682394714833,0.010910863090732192
1963-01-01,918.5851528384279,0.01991358140784749,0.03454706689353393,0.006880259524162824
1963-04-01,938.2847191989553,0.021445552760847253,0.09944742162409148,0.004200719308565137
1963-07-01,949.8845225484919,0.012362775511722823,0.02497665237391411,0.005289435728723646
1963-10-01,964.8767483728016,0.01578320887268103,0.010586385527536546,0.0054528726438831665
1964-01-01,1002.4718246560188,0.03896360477814276,0.056975099356000314,0.007245899287673385
1964-04-01,1028.6761908056314,0.02613975326299478,0.028050645522256,0.009157436829123178
1964-07-01,1062.7120991758432,0.03308709647839292,0.026940677646568822,0.009720199679614128
1964-10-01,1030.1174511198626,-0.030671193149356624,0.018699126917316233,0.011113292104328654
1965-01-01,1126.0190806591502,0.0930977622357827,0.04412179388281934,0.009428660985944193
1965-04-01,1127.8580128762833,0.001633127047950822,0.020032987466239938,0.012699620898076969
1965-07-01,1166.4101846670399,0.03418175989408456,-0.012556707024912517,0.014586780056208282
1965-10-01,1215.5304295837802,0.042112325117224625,0.05548726406738158,0.015861743107890458
1966-01-01,1273.2555068406318,0.04748961922460282,-0.014420593805959503,0.012684311363597933
1966-04-01,1222.38196258569,-0.03995548731705545,-0.04806050874582657,0.006932352616425552
1966-07-01,1262.4238510010648,0.03275726380212185,-0.10153059326507652,0.007915470839967798
1966-10-01,1261.9242063561014,-0.0003957820066272655,0.025938766528853074,0.008143378976754878
1967-01-01,1238.020615684636,-0.018942176202871086,0.09717372794147572,0.013184170339308743
1967-04-01,1291.2246030095,0.04297504149027587,0.024587381213186488,0.004594737380493541
1967-07-01,1280.8470507544582,-0.008036984604269826,0.02691326333299293,-0.00043985822991210455
1967-10-01,1284.0482778522808,0.0024993047342669605,-0.0013327884796883183,0.0015540067801544932
1968-01-01,1363.7651582870924,0.06208246357227876,-0.06311234742944394,0.005870078624491404
1968-04-01,1392.811640850265,0.021298742226011358,0.11530558548973047,0.007389596838386137
1968-07-01,1455.4689188515188,0.04498618202458715,-0.014908097984550062,0.0043857275769441095
1968-10-01,1446.9340011203005,-0.005864032972928701,0.07875635783126245,0.0045226359291039575
1969-01-01,1474.3333551726398,0.018936146383404573,-0.09536113556176717,0.009004488334481309
1969-04-01,1470.4600877906032,-0.0026271313529245832,0.03855986634750286,0.007593361994596037
1969-07-01,1466.377580739111,-0.002776346726708012,-0.07630155542551498,0.012267701092895322
