,c,c_growth,pc,k,k_growth,pk,s,s_growth,ps,sp500_ret_real,TBill_ret_real
1954-01-01,6083.636363636364,0.015871786242674046,16.775,645.7563162028081,-0.004260027445190606,52.207,10162.654139753377,0.03469012272163474,10.218,-0.05632434828231936,0.01324954560207714
1955-01-01,6399.435977439098,0.05190967949536862,16.666,783.4823574656283,0.21327865915842725,52.005,10671.735155422964,0.050093313092119285,10.390999999999998,0.48166219995773485,0.023219426192711223
1956-01-01,6624.371487725524,0.03514927113567912,16.905,754.2199440470156,-0.03734916701030688,53.25899999999999,11183.77514570408,0.047980949941483164,10.638,0.20832911422123312,0.009068526024318846
1957-01-01,6757.183908045978,0.02004905983406058,17.4,761.0967239537117,0.009117738082868199,55.218999999999994,11571.193716321124,0.0346411265936315,10.949000000000002,-0.00802109345205837,0.0008713101677106927
1958-01-01,6846.835727109515,0.013267630463155822,17.824,703.1055458717228,-0.07619422900776507,56.222,11946.345811051693,0.03242120942123883,11.22,-0.1464852624082379,-0.00495083320651335
1959-01-01,7155.126050420167,0.04502668613619587,17.85,785.9231375295457,0.11778827822378224,57.115,12544.310389723116,0.05005418293837094,11.520999999999999,0.36768628818767923,0.028655749867514402
1960-01-01,7273.9854952112055,0.01661178908009009,18.063,801.8594351394577,0.020277170691278767,56.898999999999994,13036.106883138847,0.03920474526990603,11.825999999999999,0.07222622505946363,0.02070221971830999
1961-01-01,7420.58547880258,0.020154010987221138,18.139,774.9592412741265,-0.03354726861903512,57.043,13513.915427432083,0.03665270226583073,12.037,-0.04265425266056255,0.01967025257249766
1962-01-01,7649.084329422086,0.03079256364234717,18.238,863.4443513475771,0.11418034054019466,57.288000000000004,14153.118630248675,0.04729963024032724,12.265,0.22625438401211917,0.022420522651974917
1963-01-01,7814.05070850752,0.021566814010782087,18.419,942.9808545046691,0.09211537840621609,57.507,14756.440093090443,0.04262816405370362,12.460999999999999,-0.12381805400386936,0.023106800561175866
1964-01-01,8180.873292258238,0.046943972778592524,18.665,1030.969238492565,0.09330877033989693,57.766999999999996,15634.013712664513,0.05947055075871477,12.689,0.19025883462652482,0.0243436324458568
1965-01-01,8593.042837596044,0.05038209621555345,19.002,1158.7803047492714,0.12397175539746064,57.293,16501.46990561659,0.05548518818615222,12.925999999999998,0.105041403346535,0.028680093245148086
1966-01-01,9070.576236613973,0.05557209571080435,19.61,1254.9853064651554,0.08302264141147986,57.168,17318.393743420063,0.049506125361924225,13.298,0.07081552932140633,0.02601716528750253
1967-01-01,9265.274439102564,0.02146481076942819,19.968,1273.6459732121336,0.014869231257805371,58.086000000000006,18028.60470194337,0.04100905482606576,13.739,-0.14313095245848428,0.024815866838099998
1968-01-01,9657.192575406032,0.04229967918159461,20.688000000000002,1415.026356175352,0.11100445958829308,59.948,18987.027479425306,0.05316122868779871,14.338,0.15542409368235433,0.01792114842175918
1969-01-01,9924.245934300143,0.027653311954678683,21.583000000000002,1467.974301567215,0.03741834571546421,61.638000000000005,19827.56333731264,0.044268954621683454,15.078,0.04102451726224876,0.02690651063554661
1970-01-01,10145.257837094843,0.022269893779117256,22.553,1429.1295440468816,-0.026461469712966035,62.967,20607.742097656002,0.039348191558928436,15.913,-0.1380467739887563,0.024807952917730525
1971-01-01,10335.058214747736,0.01870828526002688,23.19,1572.6808001105294,0.10044663666888587,65.141,21322.98432751326,0.0347074524937212,16.781,-0.04848472417838423,0.012864240152362427
1972-01-01,10753.812727196757,0.04051786683228098,23.933000000000003,1768.0802927466254,0.12424612332163232,65.859,22545.194671545367,0.057318915835579354,17.491,0.0875665629609439,0.014620273536520623
1973-01-01,11062.444418667594,0.02869974578321388,25.863000000000003,1953.0029625639643,0.10458952038318947,66.834,23611.420157068063,0.047292804566837265,18.336,0.10551536472466871,0.010164132521071734
1974-01-01,10792.980688497062,-0.02435842567631963,29.775,1827.763893179074,-0.06412641034628663,71.222,24063.499245852185,0.01914662844406645,19.89,-0.2708573154282412,-0.04117626619843717
1975-01-01,10885.708941264496,0.00859153327924167,32.076,1832.1176349296354,0.0023820044628350967,77.596,24969.344755730493,0.03764396443856555,21.595,-0.3347667109562027,-0.02118288447017369
1976-01-01,11403.381642512079,0.047555258370471254,33.12,2060.410557184751,0.12460603942818516,81.84,26040.83488503009,0.0429122245610265,23.093000000000004,0.24558182772535386,0.01027039394006124
1977-01-01,11663.173225198469,0.022781977384487506,35.018,2245.0499970761944,0.08961293624107913,85.505,27116.098385733265,0.04129143729263851,24.840999999999998,0.11747069148368539,-0.000737425005748582
1978-01-01,12084.442774318231,0.03611963408119534,37.256,2362.8933116257435,0.05249028516203236,90.291,28362.093457943924,0.04595038174320165,26.75,-0.1738807125945041,0.009822082602958249
1979-01-01,12396.065033558672,0.02578706069118053,41.271,2350.973773045962,-0.005044467526796881,96.275,29229.564737531902,0.030585587092655464,28.994,-0.05805197251636718,0.005428554719833167
1980-01-01,12375.137584978957,-0.0016882332032835956,46.335,2163.7293319315686,-0.07964548276172223,104.63,29706.457558811584,0.016315426711343894,32.009,-0.01674873567159696,0.0017295111413178077
1981-01-01,12530.402901047823,0.012546552715286818,49.913000000000004,2185.295672194003,0.009967207979374226,111.62700000000001,30168.41419179324,0.015550714253528719,35.288000000000004,0.19997746934268723,0.061520715781228974
1982-01-01,12660.306390314616,0.010367064035581075,51.04600000000001,2181.667686948724,-0.001660180492480734,115.98100000000001,30794.20883914026,0.020743372302189478,38.058,-0.12363036100861924,0.07666257074987537
1983-01-01,13072.5511343939,0.032561987946410076,51.922,2493.2478112429435,0.14281740805814236,118.33200000000001,32375.012377463114,0.05133444234857598,40.396,0.10711408345235318,0.06694130118538388
1984-01-01,13613.799739627553,0.04140344143000729,53.001000000000005,2849.352942156193,0.14282781250521692,120.08200000000001,33616.640783095674,0.0383514418822859,42.498000000000005,0.16376571739318035,0.07506893500325118
1985-01-01,14024.855073805864,0.030194019453789744,53.993,3134.394159140352,0.10003717432367631,121.352,35337.07965991431,0.051178191417738716,44.577,-0.0078111028558841555,0.0577295574384018
1986-01-01,14524.013207263997,0.03559096552736629,53.303999999999995,3435.0746207829675,0.09592937147543723,122.68700000000001,36430.16290294777,0.03093303842743511,46.408,0.2733528712718778,0.06467699500985447
1987-01-01,14773.57258196201,0.017182535648838204,55.117,3502.079751539016,0.01950616453879994,126.21700000000001,38078.123692359186,0.045236163060859313,47.79600000000001,0.139225829957367,0.024837758998943693
1988-01-01,15162.144577889536,0.026301830093687695,56.869,3702.7022813895665,0.057286682224294116,128.299,39788.80635757358,0.04492560292716474,50.082,0.011841193865127497,0.03931046339789934
1989-01-01,15571.703802982074,0.027011958828686122,59.69,3783.9968768419362,0.021955477182427297,130.637,41053.20061781362,0.0317776373806542,52.443000000000005,0.035827544484324125,0.04104501423053475
1990-01-01,15753.29572822918,0.011661660634228799,63.111999999999995,3767.605260165991,-0.004331826164091779,131.935,42258.19567516318,0.029352036850122998,54.846000000000004,0.2550936607633203,0.03270960733335748
1991-01-01,15707.058732968979,-0.0029350680681596852,64.955,3564.578540054382,-0.05388747124285098,133.868,42918.56751824818,0.01562707144813391,56.992,-0.11407256343795336,0.028650930537352792
1992-01-01,16012.413123311786,0.019440583723155713,65.898,3769.3426216494922,0.05744412117567932,134.793,44635.382425700634,0.04000168241222157,59.018,0.26293123113338646,0.02196530614647485
1993-01-01,16419.51410422374,0.02542408678672392,66.434,4051.8072289156626,0.0749373659066741,136.12,46015.11652663817,0.030911219439739845,61.059,0.03443875888468706,0.021128254805616198
1994-01-01,17059.681379888603,0.03898819853019808,66.788,4374.935151026055,0.0797490857423806,138.784,47424.400899249034,0.030626552293853804,62.718999999999994,0.05828500980593043,0.032008994592845896
1995-01-01,17482.07035533296,0.024759487943444514,67.486,4547.579704857758,0.039462197237646546,139.797,48813.52856322998,0.029291411966006375,64.471,-0.0227345535368787,0.04513117752772966
1996-01-01,17987.30692323297,0.028900270827813435,69.014,4887.018918098652,0.07464172928696611,138.386,50225.31702898551,0.0289220735994693,66.24,0.3373331259448302,0.0386859987998327
1997-01-01,18512.59769125977,0.029203413844477,69.735,5285.969681746993,0.08163479011117825,135.364,51834.39294052006,0.032037147930911836,68.107,0.18870068259565254,0.051814717917908926
1998-01-01,19200.930326625545,0.037181850264631056,69.223,5924.470495218113,0.12079161476766131,131.53799999999998,54189.26224676128,0.04543063345882015,69.54899999999999,0.3431557488880108,0.06378958259008227
1999-01-01,20178.072537107255,0.05089035759515914,70.943,6684.438333046862,0.12827607774266925,127.994,56249.35888403551,0.038016694670858886,70.97,0.2529627341740426,0.04093733414234868
2000-01-01,20821.732666576565,0.031898989771477204,73.99,7258.938727459293,0.08594594875267036,125.71700000000001,59077.188845320685,0.050273105638680704,72.938,0.16188434950710273,0.03761379178734181
2001-01-01,21184.31047394886,0.017413431109617017,74.77600000000001,7638.819024129035,0.05233275977832985,123.25399999999999,60396.17671708504,0.022326517181069816,75.171,-0.11749705198701277,0.03477827332472061
