Line;;1947_Q1;1947_Q2;1947_Q3;1947_Q4;1948_Q1;1948_Q2;1948_Q3;1948_Q4;1949_Q1;1949_Q2;1949_Q3;1949_Q4;1950_Q1;1950_Q2;1950_Q3;1950_Q4;1951_Q1;1951_Q2;1951_Q3;1951_Q4;1952_Q1;1952_Q2;1952_Q3;1952_Q4;1953_Q1;1953_Q2;1953_Q3;1953_Q4;1954_Q1;1954_Q2;1954_Q3;1954_Q4;1955_Q1;1955_Q2;1955_Q3;1955_Q4;1956_Q1;1956_Q2;1956_Q3;1956_Q4;1957_Q1;1957_Q2;1957_Q3;1957_Q4;1958_Q1;1958_Q2;1958_Q3;1958_Q4;1959_Q1;1959_Q2;1959_Q3;1959_Q4;1960_Q1;1960_Q2;1960_Q3;1960_Q4;1961_Q1;1961_Q2;1961_Q3;1961_Q4;1962_Q1;1962_Q2;1962_Q3;1962_Q4;1963_Q1;1963_Q2;1963_Q3;1963_Q4;1964_Q1;1964_Q2;1964_Q3;1964_Q4;1965_Q1;1965_Q2;1965_Q3;1965_Q4;1966_Q1;1966_Q2;1966_Q3;1966_Q4;1967_Q1;1967_Q2;1967_Q3;1967_Q4;1968_Q1;1968_Q2;1968_Q3;1968_Q4;1969_Q1;1969_Q2;1969_Q3;1969_Q4;1970_Q1;1970_Q2;1970_Q3;1970_Q4;1971_Q1;1971_Q2;1971_Q3;1971_Q4;1972_Q1;1972_Q2;1972_Q3;1972_Q4;1973_Q1;1973_Q2;1973_Q3;1973_Q4;1974_Q1;1974_Q2;1974_Q3;1974_Q4;1975_Q1;1975_Q2;1975_Q3;1975_Q4;1976_Q1;1976_Q2;1976_Q3;1976_Q4;1977_Q1;1977_Q2;1977_Q3;1977_Q4;1978_Q1;1978_Q2;1978_Q3;1978_Q4;1979_Q1;1979_Q2;1979_Q3;1979_Q4;1980_Q1;1980_Q2;1980_Q3;1980_Q4;1981_Q1;1981_Q2;1981_Q3;1981_Q4;1982_Q1;1982_Q2;1982_Q3;1982_Q4;1983_Q1;1983_Q2;1983_Q3;1983_Q4;1984_Q1;1984_Q2;1984_Q3;1984_Q4;1985_Q1;1985_Q2;1985_Q3;1985_Q4;1986_Q1;1986_Q2;1986_Q3;1986_Q4;1987_Q1;1987_Q2;1987_Q3;1987_Q4;1988_Q1;1988_Q2;1988_Q3;1988_Q4;1989_Q1;1989_Q2;1989_Q3;1989_Q4;1990_Q1;1990_Q2;1990_Q3;1990_Q4;1991_Q1;1991_Q2;1991_Q3;1991_Q4;1992_Q1;1992_Q2;1992_Q3;1992_Q4;1993_Q1;1993_Q2;1993_Q3;1993_Q4;1994_Q1;1994_Q2;1994_Q3;1994_Q4;1995_Q1;1995_Q2;1995_Q3;1995_Q4;1996_Q1;1996_Q2;1996_Q3;1996_Q4;1997_Q1;1997_Q2;1997_Q3;1997_Q4;1998_Q1;1998_Q2;1998_Q3;1998_Q4;1999_Q1;1999_Q2;1999_Q3;1999_Q4;2000_Q1;2000_Q2;2000_Q3;2000_Q4;2001_Q1;2001_Q2;2001_Q3;2001_Q4;2002_Q1;2002_Q2;2002_Q3;2002_Q4;2003_Q1;2003_Q2;2003_Q3;2003_Q4;2004_Q1;2004_Q2;2004_Q3;2004_Q4;2005_Q1;2005_Q2;2005_Q3;2005_Q4;2006_Q1;2006_Q2;2006_Q3;2006_Q4;2007_Q1;2007_Q2;2007_Q3;2007_Q4;2008_Q1;2008_Q2;2008_Q3;2008_Q4;2009_Q1;2009_Q2;2009_Q3;2009_Q4;2010_Q1;2010_Q2;2010_Q3;2010_Q4;2011_Q1;2011_Q2;2011_Q3;2011_Q4;2012_Q1;2012_Q2;2012_Q3;2012_Q4;2013_Q1;2013_Q2;2013_Q3;2013_Q4;2014_Q1;2014_Q2;2014_Q3;2014_Q4;2015_Q1;2015_Q2;2015_Q3;2015_Q4;2016_Q1;2016_Q2;2016_Q3;2016_Q4;2017_Q1;2017_Q2;2017_Q3;2017_Q4;2018_Q1;2018_Q2;2018_Q3;2018_Q4;2019_Q1;2019_Q2;2019_Q3;2019_Q4;2020_Q1;2020_Q2;2020_Q3;2020_Q4
11;            Equipment;14927;15226;15044;16067;17334;16658;17130;17998;16826;16090;15176;14836;15130;17114;19343;19609;19383;19672;20198;20242;20418;20821;17671;19867;21245;21306;22125;21446;20570;20424;21131;21123;21144;23119;25010;26280;25442;25920;26822;27188;28203;28112;29334;28595;25526;24365;24136;25482;27077;28059;29118;29127;30089;30749;29471;28407;27408;28635;28944;30628;31401;32197;32321;32304;32872;33467;34894;36238;37146;37939;39264;40390;43542;44296;46825;48457;51069;53024;53417;54581;52713;53577;53193;55286;57601;56698;58581;61233;63689;64691;66122;66149;66401;66748;67661;64834;66644;68690;69260;71642;74881;76946;78938;84780;89808;94897;96850;98693;100032;102376;107085;107770;104513;105582;108527;111840;115026;118315;123099;128525;139000;144640;150611;160407;164610;179682;185477;192766;203430;204185;212114;212490;219621;209102;215242;221582;231960;238318;246606;246525;242825;235435;232297;228891;227091;237585;249810;271388;275598;288951;297338;305614;302612;309543;306093;313379;310777;317524;318616;323862;312608;320184;327084;323803;335612;344833;349142;357678;363359;371633;381049;372601;376407;365729;373622;371807;361307;358160;362570;361361;360058;379543;387626;399564;406612;421532;424980;447438;461783;465422;476463;501851;525294;525398;524840;536979;546017;556858;577000;581359;587506;602318;630464;623149;645754;655875;658429;680000;695097;712119;728141;719148;749400;773952;774005;766993;751676;716017;692401;685974;667253;661929;661341;648036;644287;665224;680669;692293;681801;713497;734204;758084;768581;786904;808296;815793;850152;857640;867410;873929;886253;897845;896020;893612;885403;871824;852110;772186;683537;652184;662038;683287;719807;763672;804497;820133;839817;854272;904533;926474;957835;984355;984294;1007118;1022809;1017988;1016528;1050866;1058153;1085246;1116993;1107383;1115646;1117437;1130888;1113944;1102396;1088784;1083140;1079931;1094324;1107541;1124678;1162443;1189601;1196955;1219561;1247577;1256475;1243127;1234919;1229294;1181562;1057197;1202047;1266165
12;            Intellectual property products;2002;1998;2037;2041;2064;2065;2097;2072;2021;2008;2021;2108;2181;2239;2298;2328;2289;2301;2365;2482;2684;2869;3071;3307;3486;3660;3740;3783;3842;3859;3896;3956;4062;4201;4378;4633;4915;5160;5334;5489;5492;5536;5636;5678;5760;5871;6040;6272;6469;6640;6659;6752;6874;6967;7276;7452;7675;7928;8102;8212;8225;8330;8425;8615;8867;9183;9381;9540;9542;9686;9892;10111;10546;10920;11327;11746;12215;12628;13000;13366;13618;13786;14116;14492;14930;15417;15796;16187;16510;17006;17355;17736;17905;17948;18016;17918;18133;18456;18812;19312;19923;20424;20763;21197;21704;22326;22961;23735;24388;25110;25983;26585;26942;27285;28006;29010;30379;31636;32845;33897;34546;35478;36249;36997;37796;39410;41063;43164;45386;47239;49074;50574;52314;53279;54706;57117;61048;63536;65760;68745;70637;72185;73500;74374;76435;79369;82913;86654;90132;93516;96775;99770;101930;104310;106129;108937;111076;112988;114328;115780;117022;118611;120811;124020;127272;130383;133738;139304;143602;147800;152349;156716;160336;163822;165274;168270;173592;178740;180096;184088;184220;186534;187864;192052;194289;196707;197364;199290;200418;203094;207550;211758;218158;224004;230385;234849;243422;249817;256663;263310;277134;284625;292246;297850;304884;312308;322424;332888;343185;358762;373368;385194;400258;408567;414719;421810;421815;418696;413087;406561;404110;405991;409328;405460;409186;414712;423514;427212;427726;431184;442307;450058;462200;471979;479083;479272;487552;496662;512716;528399;536152;541758;544679;556724;571436;580278;576058;569762;550136;559711;564471;583096;571363;569998;578778;592540;603092;615066;628060;640716;645438;653729;656953;666645;685091;682326;696656;703628;709976;723632;736736;751609;751730;756107;765615;777444;791580;809808;818521;826698;838002;843880;858244;872504;897356;928303;938865;962781;981865;998523;1014220;1020657;1029069;1005587;1027942;1060992
13;        Residential;10541;10573;12466;15254;15345;16427;16283;15177;14169;13913;14744;16538;18339;20603;22555;21478;21057;18467;17398;17723;18269;18763;18754;19647;19982;20073;19490;19251;19351;20668;22183;23565;25419;26005;25626;24565;24132;24374;23952;23491;23101;22610;22464;22349;21370;21469;23017;25434;28348;29358;28801;28006;28954;26684;25892;25893;25914;26118;27550;28462;29010;29906;29871;29785;30848;32930;33184;34456;36237;34988;34533;34644;34768;35102;35258;35523;35946;34362;33018;30188;29389;32857;34786;37476;38268;39563;40394;42572;44906;45130;44962;42503;42493;41365;42566;47218;50961;56974;60680;63995;69156;70824;72360;77257;80925;78707;77932;75723;72438;71157;70949;63324;61197;63959;68772;73005;80441;84847;84874;96888;102213;116485;119982;122235;126921;136976;142302;145840;145262;147625;150488;147990;140171;116864;123210;137835;137601;135265;126228;114834;109701;107717;108433;117540;138473;155000;171101;179877;186425;191299;190872;192860;194219;196306;201422;208359;219534;234559;240887;244268;246672;249693;249969;252825;250115;255510;257495;261681;260884;255792;255498;251884;256004;246896;234507;221268;210289;217788;226483;230055;242362;253159;255113;268331;271401;278005;290939;306889;315598;327929;326427;325435;321787;313451;326393;334645;344725;361399;364315;361806;365359;372277;378952;385754;394846;411330;427550;441503;447363;459270;466625;473806;484243;486613;483080;487792;496716;511008;522446;522064;538339;554846;558880;578313;601444;612032;651745;683107;706197;743160;763611;786299;815285;843801;875593;890206;896218;859339;814718;782381;750889;719274;673671;618156;566675;538808;507060;451391;404473;374685;389385;391472;379435;396341;361234;369289;368767;374296;381117;391162;414107;419287;433740;460926;485076;507175;523058;524645;532086;550424;568419;589694;605135;623298;645715;661136;686377;692417;698918;720248;745988;753293;758539;783569;794282;804279;800724;794677;795773;795265;810519;826960;868702;780168;901646;990332
14;    Change in private inventories;495;-1240;-2917;1456;3626;5859;7152;5997;388;-5148;-1307;-4699;2024;2833;4177;14044;10386;14792;9740;4719;4732;-1523;5574;5274;3890;3577;2331;-2006;-1966;-3378;-2091;-316;3804;4620;4295;7233;6398;3585;3569;2244;2162;2657;2808;-4518;-4009;-4235;1547;5235;3876;7288;384;4120;11200;3224;4320;-5812;-2548;1792;6656;5996;9408;5444;6188;3364;6868;4836;5716;5064;5124;4456;4692;5016;11544;8568;9292;7584;13872;12316;11852;16504;15423;6341;9263;8433;8438;14082;7681;6007;11489;9222;10194;5787;1823;5081;5083;-3984;12254;10875;10188;-295;3227;11998;13715;7491;10550;18206;9761;24993;12519;17416;5578;20446;-10028;-13954;-1388;348;14693;22448;20807;10518;14822;19469;30884;24121;25453;24257;24966;28487;23852;27401;12131;8553;9899;7750;-33855;-9118;38755;11713;43960;24807;-21466;-4166;5798;-39820;-35060;-7672;-4204;23932;72982;69321;71338;47979;16230;21646;16303;33119;30397;15663;-7019;-12759;27973;16524;1017;63082;16956;19648;18181;19144;48137;36257;9826;16553;13954;33700;21866;-11335;-15520;-18033;843;31133;246;23209;20512;21344;35940;24104;6598;16612;45362;81411;53223;75142;61179;33759;11326;18431;6881;30521;51070;34725;49745;88374;67935;77652;105100;37340;52420;60017;83394;35111;40516;84241;16157;90444;57233;54344;-30631;-11560;-30116;-80829;293;21169;25433;33004;26081;-6488;438;36345;46025;73989;64166;72089;102477;28835;12353;86388;78214;75513;78754;43476;21372;42225;44922;27281;-16673;-22252;-15825;-62215;-150996;-196001;-204006;-52084;-1237;36708;112897;67301;32078;61047;-12033;103956;80278;91406;84429;28734;82270;87757;136215;111881;52253;96391;99439;87781;175648;150005;126797;94689;49426;16844;-4863;51999;-12253;4030;45063;28454;44548;10711;78373;97313;98618;53060;41316;3406;-52117;-298356;-848;60067
15;Net exports of goods and services;10875;11294;11770;9289;7293;5205;4949;4501;6478;6283;5179;2999;2203;1643;-740;-154;177;1943;3742;4190;3721;1951;-4;-1013;-667;-1251;-552;-335;-356;254;574;1145;1104;-155;724;240;440;1909;2569;4527;4819;4099;3997;3388;1079;471;856;-260;519;-768;1211;627;2858;3395;4682;5880;5902;4727;4453;4572;4010;4777;4482;3133;3976;5558;4511;5711;7213;6305;6946;7195;4512;6688;5521;5750;4367;4632;2687;3765;4453;4219;3302;2244;1054;1749;1650;945;239;1104;1231;3149;3514;5207;4088;2985;4570;-401;236;-1920;-3534;-4258;-2638;-3061;-1400;2454;6437;8952;6394;-2714;-6972;33;16481;21582;12043;13801;4650;-496;-4073;-6603;-21079;-21136;-20579;-29582;-38681;-22624;-23760;-16400;-18159;-22189;-23029;-26802;-35803;-15211;5471;-6682;-14259;-13508;-7561;-14750;-16276;-4386;-29647;-29587;-24548;-45434;-65200;-71385;-95004;-104301;-103847;-107756;-91298;-114445;-116895;-133434;-126014;-128872;-138961;-133629;-141234;-146977;-145464;-145405;-123987;-106627;-99263;-107694;-100965;-88160;-75075;-82765;-88536;-68833;-74953;-79096;-47140;-23188;-21074;-23053;-20536;-32788;-38488;-47140;-55704;-63187;-68354;-73449;-80595;-90572;-96868;-101913;-105329;-109492;-74444;-69780;-88795;-93709;-114180;-88822;-108839;-85201;-96831;-117014;-135215;-162331;-174634;-178663;-207731;-244668;-275300;-295638;-352106;-358736;-387846;-401511;-390755;-358543;-365976;-356441;-372592;-415681;-432521;-480814;-504852;-501536;-500763;-505355;-548966;-608024;-636429;-682881;-674590;-690790;-732505;-786886;-777158;-780585;-805630;-720325;-724314;-731908;-713796;-703687;-756179;-758947;-771564;-605663;-396112;-338611;-405497;-445584;-489179;-519127;-535095;-512210;-561474;-581865;-573850;-600657;-615102;-580505;-540838;-537839;-516863;-508931;-496282;-441051;-506318;-507643;-492266;-524406;-528778;-508342;-542670;-526494;-513898;-492334;-497713;-546102;-543562;-559521;-543581;-575470;-589808;-548149;-646433;-653448;-615543;-644744;-631838;-549757;-494307;-545164;-736124;-803749
16;    Exports;18394;19497;19433;17636;16917;15241;15405;14625;16082;15647;14115;12091;11704;11872;12293;13531;15043;17121;18052;18180;18679;16581;15246;15329;15128;15196;15755;15172;14424;16438;15878;16605;17273;16942;18145;18349;19365;20882;21822;23068;24919;24369;23759;23022;20534;20546;20595;20563;21915;21776;24079;23131;26145;26850;27561;27622;27560;26627;27779;28442;28325;29662;29593;28683;29161;31448;31215;32474;34192;34030;35375;36480;32969;38367;37551;39698;39356;40872;40857;42594;43886;43239;42845;43896;45452;47165;49891;49116;44042;53775;53596;56275;57031;60411;60519;60873;63221;62894;65717;60019;68639;67152;71453;76129;83959;91923;97576;107620;116709;126668;126638;136585;141369;136827;134098;142531;143588;146621;151775;156076;155354;161906;162325;157809;164601;186215;191302;205415;211669;220908;234277;253664;268508;277389;284673;292517;305467;308455;302339;304695;293202;294729;279634;265274;270703;272514;278181;286587;292975;302200;305744;308603;306010;304126;297273;305433;313404;315119;320471;334999;336451;355360;371854;392107;418727;439471;453586;466619;485189;507229;509352;515387;538232;545925;555149;568186;573177;590733;600595;615217;625287;626163;639365;641396;643606;653094;650897;671600;681232;706988;736883;758646;781570;798851;831399;839421;847940;859042;859577;903798;918374;954450;974057;968330;963021;947295;935263;966337;962357;973513;1003226;1032015;1054192;1092458;1124279;1114092;1095054;1052590;996394;954505;970716;1003906;1017154;1003188;1008180;1007930;1038108;1090490;1137713;1167759;1182712;1222340;1264763;1296030;1307139;1352968;1413011;1459973;1477849;1539619;1577081;1622140;1683704;1760490;1810993;1909719;1921772;1705736;1514327;1518333;1591059;1704264;1746875;1810006;1865624;1962617;2030271;2105084;2138792;2137832;2164599;2192129;2201780;2206611;2239163;2250667;2269443;2334440;2335909;2387115;2391892;2371898;2295028;2296204;2255524;2216692;2177265;2207832;2258175;2265425;2326357;2333107;2370118;2468658;2507185;2550287;2523896;2533449;2523469;2514644;2505219;2515671;2438710;1788166;2071577;2210058
17;        Goods;15728;16732;16792;15136;14576;13004;13128;12352;13676;13168;11884;10124;9624;9752;10180;11256;12508;14308;15096;15060;15416;13440;12400;12540;12132;12308;12864;12344;11588;13620;12900;13608;14180;13800;14780;14936;15900;17196;18052;19076;20640;20084;19416;18108;16560;16328;16448;16320;15552;15908;17504;16868;19540;20464;20928;20880;21200;20052;20996;21540;21192;22256;22264;21122;21290;23448;23764;24878;26148;26034;26988;27898;24484;28980;28116;30314;30658;30432;30974;32292;32889;32647;31954;32697;33966;35358;37106;36455;32063;40446;39960;42508;43416;45576;45274;45881;46517;46369;49021;42877;50440;49696;52520;57688;65224;72560;77236;88064;95116;103536;103664;111660;114936;108464;109792;116768;117016;119084;122700;127136;126324;131340;130636;125340;129845;150606;153627;165550;170867;178909;191253;208036;221979;227700;232517;239515;247244;248750;241701;243130;232305;233876;218518;205500;209694;209100;214318;223082;224345;229957;234401;236442;232103;228745;222172;226935;224487;227868;229819;243612;242984;258804;272079;288348;311241;328498;338686;349792;360484;379590;379039;379887;396228;400633;406337;409862;420656;427097;431630;441158;449682;448789;460554;462207;460366;466912;462555;481060;484124;505253;533801;550305;571566;583183;605751;609266;617146;621187;626468;650337;668863;700974;717535;712176;708166;683706;676575;701814;688061;697298;717135;744401;761627;790297;821144;810724;797080;761375;715163;691203;687518;714335;725020;709233;719221;719965;734961;774089;799325;824109;836705;859711;886003;919871;924216;957567;1004941;1036295;1053763;1084749;1106916;1137960;1177553;1222656;1275394;1352971;1372664;1169117;1005868;1005509;1067954;1154374;1201129;1251415;1282727;1354488;1411743;1463234;1482448;1491631;1507370;1524886;1533315;1520758;1534869;1542202;1552640;1607129;1591456;1628127;1633904;1606330;1521974;1524767;1485563;1446115;1412246;1428373;1460445;1474973;1513644;1504917;1533450;1615066;1635406;1693491;1660463;1666339;1660572;1631122;1626042;1629139;1599009;1135103;1407118;1530575
18;        Services;2666;2765;2641;2500;2341;2237;2277;2273;2406;2479;2231;1967;2080;2120;2113;2275;2535;2813;2956;3120;3263;3141;2846;2789;2996;2888;2891;2828;2836;2818;2978;2997;3093;3142;3365;3413;3465;3686;3770;3992;4279;4285;4343;4914;3974;4218;4147;4243;6363;5868;6575;6263;6605;6386;6633;6742;6360;6575;6783;6902;7133;7406;7329;7561;7871;8000;7451;7596;8044;7996;8387;8582;8485;9387;9435;9384;8698;10440;9883;10302;10997;10592;10892;11199;11486;11807;12785;12661;11979;13329;13636;13767;13614;14835;15245;14992;16704;16525;16696;17142;18199;17456;18933;18441;18735;19363;20340;19556;21593;23132;22974;24925;26433;28363;24306;25763;26572;27537;29075;28940;29030;30566;31689;32469;34756;35609;37675;39865;40802;41999;43024;45628;46529;49689;52156;53002;58224;59705;60637;61565;60896;60852;61116;59774;61009;63414;63863;63504;68630;72243;71344;72162;73907;75381;75102;78498;88916;87250;90652;91388;93467;96556;99775;103759;107486;110973;114900;116828;124705;127639;130313;135500;142004;145292;148812;158324;152521;163636;168965;174059;175605;177374;178811;179189;183240;186182;188342;190540;197108;201735;203082;208341;210004;215668;225648;230155;230794;237855;233109;253461;249511;253476;256522;256154;254855;263589;258688;264523;274296;276215;286091;287614;292565;302161;303135;303368;297974;291215;281232;263301;283197;289572;292135;293955;288958;287966;303146;316401;338388;343650;346008;362629;378760;376159;382923;395402;408070;423678;424086;454870;470165;484180;506151;537834;535599;556748;549108;536619;508458;512825;523105;549890;545746;558591;582897;608129;618528;641849;656344;646201;657230;667243;668465;685853;704295;708465;716804;727311;744453;758988;757987;765568;773054;771438;769961;770577;765019;779459;797730;790452;812713;828190;836668;853592;871779;856796;863432;867110;862897;883522;879177;886532;839701;653063;664459;679483
19;    Imports;7519;8203;7663;8347;9624;10036;10456;10124;9604;9364;8936;9092;9501;10229;13033;13685;14866;15178;14310;13990;14958;14630;15250;16342;15795;16447;16307;15507;14780;16184;15304;15460;16169;17097;17421;18109;18925;18973;19253;18541;20100;20270;19762;19634;19455;20075;19739;20823;21396;22544;22868;22504;23288;23455;22879;21742;21658;21899;23326;23870;24314;24884;25111;25550;25185;25890;26704;26764;26978;27726;28429;29285;28457;31679;32030;33948;34990;36240;38171;38829;39432;39020;39543;41652;44399;45416;48240;48170;43804;52671;52365;53126;53517;55204;56431;57888;58651;63296;65482;61939;72173;71409;74090;79190;85360;89468;91139;98669;110315;129382;133610;136552;124888;115245;122055;128730;138938;147116;155848;162680;176433;183042;182904;187391;203282;208840;215062;221815;229828;243097;257306;280466;304311;292600;279202;299200;319726;321963;309900;319445;309478;299115;309282;294861;295251;317949;343381;357972;387978;406501;409591;416359;397308;418571;414168;438867;439418;443990;459432;468628;477685;502337;517318;537511;542714;546098;552849;574314;586154;595389;584427;598152;626767;614759;630102;647282;620317;613921;621669;638270;645823;658951;677853;688536;699310;716281;719251;745049;761827;797560;833751;860559;886899;908343;905843;909201;936735;952751;973757;992620;1027213;1039651;1070888;1085344;1098236;1109626;1109897;1145000;1170088;1218181;1278526;1327653;1406298;1451194;1512125;1515603;1485809;1411134;1362370;1310946;1343308;1419588;1449676;1484002;1513031;1509466;1538871;1595845;1686679;1775782;1819141;1905222;1939353;1986820;2039644;2139854;2190169;2240558;2283479;2259944;2301394;2354048;2397500;2464176;2567171;2668666;2693336;2311399;1910439;1856945;1996556;2149849;2236054;2329133;2400719;2474827;2591745;2686949;2712642;2738489;2779701;2772634;2742618;2744450;2756026;2759598;2765726;2775491;2842227;2894758;2884158;2896305;2823806;2804547;2798194;2743187;2691163;2700166;2755888;2811526;2869919;2892628;2913699;3044128;3096993;3098436;3170329;3186898;3139012;3159388;3137057;3065428;2933016;2333329;2807701;3013807
20;        Goods;5612;6292;5828;6160;7340;7644;7708;7536;7164;6852;6620;6860;7184;7808;10464;10868;11772;12040;10808;10084;10696;10604;10768;11284;10988;11516;11152;10244;9976;11048;10224;10164;11104;11232;11296;12476;13020;12692;12620;12880;13188;13376;13060;13540;12580;12668;12780;13780;14484;15532;15796;15428;15700;15888;15056;14236;14064;14256;15760;16132;16440;16920;17084;17032;16916;17568;18152;18216;18344;19080;19720;20424;19552;22436;22808;24192;24852;25612;27160;27712;27704;26796;27012;29532;32116;33152;35408;35108;30772;39116;38536;38828;39348;40068;41180;42824;43376;47440;49640;45744;55092;54092;57288;61264;66460;70040;72100;78772;88832;106388;110600;112260;100936;92264;98772;104028;113540;121324;128920;134744;147624;153150;153171;156571;170334;175132;179406;184765;192183;204074;216774;238117;259654;248469;234147;252012;270186;271773;260494;268804;257624;245844;257204;241496;242509;262760;285851;299590;322454;337925;339857;345028;325388;344425;340521;362844;357705;365100;374757;382462;389536;409062;422798;437677;441487;445679;451121;470214;481986;490713;477447;489020;510376;495803;506283;519820;496967;491023;500436;514455;523470;537882;553860;564495;575865;590145;592109;612924;627223;662022;695660;722344;745464;764255;759719;760356;784526;798397;814409;832459;861459;871959;898369;910830;920800;926876;922498;952829;978495;1024545;1078343;1123455;1193701;1231222;1282506;1292993;1262561;1186723;1142935;1102872;1118180;1193701;1221634;1243969;1274839;1274159;1284228;1332139;1408498;1488678;1528023;1604186;1636122;1679563;1726245;1819926;1851475;1895554;1939102;1896747;1934685;1977651;2012748;2073562;2160776;2253448;2269610;1893240;1521202;1471013;1603373;1745898;1832522;1920350;1979819;2046567;2168159;2243139;2260676;2290165;2326427;2314188;2282278;2282692;2294534;2293771;2296832;2300351;2364436;2407170;2394520;2400093;2329040;2304443;2291410;2227348;2178530;2187660;2233168;2284962;2334343;2342088;2351425;2479653;2533817;2531823;2596309;2600318;2550884;2556362;2534623;2460669;2377882;1927785;2375198;2553387
21;        Services;1907;1911;1835;2187;2284;2392;2748;2588;2440;2512;2316;2232;2317;2421;2569;2817;3094;3138;3502;3906;4262;4026;4482;5058;4807;4931;5155;5263;4804;5136;5080;5296;5065;5865;6125;5633;5905;6281;6633;5661;6912;6894;6702;6094;6875;7407;6959;7043;6912;7012;7072;7076;7588;7567;7823;7506;7594;7643;7566;7738;7874;7964;8027;8518;8269;8322;8552;8548;8634;8646;8709;8861;8905;9243;9222;9756;10138;10628;11011;11117;11728;12224;12531;12120;12283;12264;12832;13062;13032;13555;13829;14298;14169;15136;15251;15064;15275;15856;15842;16195;17081;17317;16802;17926;18900;19428;19039;19897;21483;22994;23010;24292;23952;22981;23283;24702;25398;25792;26928;27936;28810;29891;29733;30820;32948;33708;35656;37050;37646;39022;40532;42350;44657;44131;45055;47188;49539;50190;49406;50641;51854;53271;52078;53365;52742;55189;57530;58382;65524;68576;69734;71331;71920;74146;73647;76023;81713;78890;84675;86166;88149;93275;94520;99834;101227;100419;101728;104100;104168;104676;106980;109132;116391;118956;123819;127462;123350;122898;121233;123815;122353;121069;123993;124041;123445;126136;127142;132125;134604;135538;138091;138215;141435;144088;146124;148845;152209;154354;159348;160161;165754;167692;172519;174514;177436;182750;187399;192171;191593;193636;200183;204198;212597;219972;229619;222610;223248;224410;219435;208074;225127;225886;228042;240033;238192;235308;254643;263707;278181;287104;291118;301035;303231;307258;313399;319928;338694;345004;344377;363197;366709;376397;384752;390614;406395;415218;423725;418159;389237;385932;393183;403951;403532;408783;420900;428260;423586;443809;451966;448323;453275;458446;460340;461758;461492;465827;468894;475141;477791;487589;489638;496212;494766;500104;506785;515839;512633;512507;522720;526564;535576;550540;562274;564476;563176;566613;574020;586580;588128;603026;602434;604759;555134;405544;432503;460420
22;Government consumption expenditures and gross investment;40274;40138;39361;39534;40875;42884;44660;46603;48585;50381;50356;49910;48956;49643;49746;53713;62033;69821;78046;83314;84998;88987;90931;93418;95764;97925;96622;96747;94831;92534;91148;91356;91869;92533;94099;93331;94848;98247;98279;101345;105342;105842;107405;110062;109843;113624;115093;117992;117195;118535;119492;118608;116951;118380;122419;124330;126218;127254;129961;133516;137107;138426;142052;143562;143724;144132;149927;150989;152554;154314;156033;156152;157025;159808;166761;172619;177032;181659;189466;193621;202588;203811;208379;213293;219749;223637;227370;231347;233705;236859;242535;242838;247889;249143;254584;258708;261905;266118;269783;272067;282228;286464;284316;291749;299571;302709;304189;312593;324586;334957;346710;359228;370138;373408;385394;395571;401291;400985;403517;410818;421202;431362;438014;446749;452589;472288;484229;496241;501818;516508;533106;547775;568781;588547;592169;608893;633350;648673;657774;677727;688104;703093;717344;737351;747852;761061;782216;775099;794021;819132;835720;862769;875592;900527;927363;938584;946803;967519;993597;996385;1008681;1025219;1036195;1056024;1056893;1070421;1078190;1109916;1116559;1145809;1164580;1180500;1212450;1230721;1242584;1268467;1284187;1296577;1306265;1308774;1326421;1334807;1353997;1362775;1351818;1359066;1367411;1381394;1373350;1389392;1423432;1422923;1437596;1452892;1455659;1451575;1471295;1487662;1496733;1515702;1515985;1542541;1555224;1574782;1568029;1603691;1627262;1647452;1669400;1695179;1734512;1782347;1790716;1823116;1832333;1861214;1905413;1946995;1952705;1991988;2038946;2073495;2100432;2141997;2172360;2199425;2221212;2251834;2287338;2321398;2357154;2389668;2426905;2452909;2495099;2529054;2580699;2610894;2630650;2674694;2719157;2770314;2809030;2864876;2909263;2971120;3027545;3020030;3019656;3067595;3088993;3117803;3131884;3164663;3157912;3164129;3155982;3168577;3137494;3131435;3144668;3131040;3139625;3132709;3125038;3131988;3134089;3138519;3137427;3153250;3190944;3190319;3188054;3230559;3249111;3253199;3266365;3283135;3310907;3336728;3361607;3384217;3411104;3471131;3521462;3579974;3631175;3648034;3681467;3737643;3767055;3805331;3834115;3839326;3816639;3835162
