Line;;1929;1930;1931;1932;1933;1934;1935;1936;1937;1938;1939;1940;1941;1942;1943;1944;1945;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
11;            Equipment;5492;4180;2643;1460;1436;2098;2833;3881;4770;3401;3883;5167;6443;4065;3671;5002;7285;9945;15316;17280;15732;17799;19874;19694;21531;20812;23888;26343;28561;24876;28345;29679;28904;32056;34367;38684;45779;53023;53693;58532;65163;66404;69059;78885;95062;104316;107615;121242;148665;180634;208062;216386;240852;234862;246470;291874;307905;317693;320919;346816;372160;371891;360849;381698;425141;476380;528128;565309;610859;660014;713626;766088;711517;659640;670618;721896;794894;862283;893432;845381;670261;777027;881274;983401;1027048;1091944;1119479;1088563;1122247;1213424;1240954;1176743
12;            Intellectual property products;577;556;500;442;428;501;563;644;704;754;771;819;1130;1196;1142;1237;1433;1837;2020;2075;2040;2261;2359;2983;3667;3888;4318;5225;5586;5986;6630;7142;7979;8399;9243;9808;11135;12802;14003;15582;17152;17947;18678;20577;22681;25517;27811;32189;35817;40358;48068;54354;64773;72674;81343;95048;105327;113543;120116;132674;150117;164426;179129;187667;196912;205705;226849;253303;287964;318126;365127;411339;415040;406222;418656;437819;473134;506332;544828;574384;564354;578170;621733;655691;691925;730488;762724;811652;853158;931826;1003816;1030898
13;        Residential;4071;2467;1899;875;724;1043;1400;1826;2161;2239;3151;3643;4216;2353;1568;1496;1823;7955;12209;15808;14841;20744;18661;18858;19699;21442;25403;23987;22631;22823;28628;26856;27011;29643;32855;35100;35163;33378;33627;40199;44375;43411;58153;72399;78322;69467;66733;86762;115229;138010;147841;129520;128482;110848;161113;190364;200077;234812;249790;256200;256014;239669;221153;254741;286808;323847;324069;358061;375585;418807;461766;485432;513059;557594;637082;749817;856221;838164;690497;515984;390004;376575;378836;432015;509988;560156;633821;699490;760347;798490;807129;885212
14;    Change in private inventories;1539;-223;-1112;-2351;-1404;-580;1141;1161;2626;-575;208;2393;4330;1906;-746;-924;-1477;6011;-551;5659;-2692;5769;9911;3514;1948;-1937;4987;3950;777;-366;3917;3232;2974;6101;5621;4821;9247;13636;9866;9053;9173;2001;8256;9107;15878;13990;-6256;17116;22324;25791;17984;-6331;29809;-14914;-5751;65405;21824;6571;27149;18482;27693;14546;-394;16328;20814;63785;31174;30799;70927;63719;60816;54544;-38284;19975;14094;64068;57513;68989;33950;-29241;-150772;53917;46262;71212;104531;83966;136785;28352;16324;57736;49100;-72813
15;Net exports of goods and services;383;323;1;43;58;322;-213;-147;78;966;833;1471;1033;-252;-2246;-2024;-766;7182;10807;5487;5235;738;2513;1164;-701;404;478;2361;4075;538;397;4204;4914;4101;4939;6915;5618;3863;3555;1350;1431;3948;621;-3373;4111;-815;15977;-1631;-23094;-25366;-22545;-13056;-12519;-19974;-51642;-102727;-114018;-131869;-144770;-109393;-86741;-77855;-28614;-34738;-65173;-92487;-89761;-96376;-101971;-162711;-255834;-375050;-367929;-425402;-503127;-619075;-721193;-770924;-718426;-723088;-396451;-513903;-579462;-568571;-490782;-507658;-526571;-512512;-555534;-609460;-610471;-644836
16;    Exports;5939;4444;2906;1975;1987;2561;2769;3007;4039;3811;3969;4897;5482;4375;4034;4880;6781;14156;18740;15547;14484;12350;17099;16459;15313;15836;17677;21284;24017;20560;22725;27045;27602;29065;31074;35019;37146;40920;43467;47906;51922;59709;62963;70843;95270;126650;138706;149515;159349;186883;230130;280772;305239;283210;276996;302381;303211;320998;363943;444601;504289;551873;594931;633053;654799;720937;812810;867589;953803;952979;992778;1096255;1024636;998741;1036177;1177631;1305225;1472613;1660853;1837055;1581996;1846280;2102995;2191280;2273428;2371704;2265862;2227174;2374560;2528704;2514751;2127128
17;        Goods;5347;3929;2494;1667;1736;2238;2404;2590;3451;3243;3347;4124;4533;3389;2920;3589;5365;11764;16097;13265;12213;10203;14243;13449;12412;12929;14424;17556;19562;16414;16458;20453;20947;21709;23345;26767;27974;31089;32547;35721;38744;45037;46196;52586;75771;103494;112490;121484;128410;149907;187266;230428;245206;222550;214049;231286;227489;231447;265554;332054;374750;403265;430135;455308;467723;518371;592442;628785;699887;692565;711724;795948;741205;709026;737059;829962;921914;1044937;1161271;1292536;1058426;1272440;1462264;1521582;1559210;1614954;1494605;1444009;1541769;1663925;1636719;1417951
18;        Services;592;515;412;308;251;323;365;417;588;568;622;773;949;986;1114;1291;1416;2392;2643;2282;2271;2147;2856;3010;2901;2907;3253;3728;4455;4146;6267;6592;6655;7357;7729;8252;9173;9831;10920;12185;13178;14671;16767;18257;19499;23156;26216;28031;30939;36976;42863;50344;60033;60660;62948;71094;75722;89552;98389;112547;129539;148608;164795;177745;187076;202566;220369;238805;253916;260414;281054;300307;283431;289715;299118;347669;383311;427676;499582;544518;523570;573840;640731;669698;714219;756749;771258;783165;832791;864779;878032;709177
19;    Imports;5556;4121;2905;1932;1929;2239;2982;3154;3961;2845;3136;3426;4449;4627;6280;6904;7547;6974;7933;10060;9249;11612;14586;15295;16014;15432;17199;18923;19942;20022;22328;22841;22688;24965;26135;28104;31529;37057;39912;46556;50491;55760;62342;74216;91159;127465;122730;151146;182443;212250;252674;293828;317758;303184;328638;405107;417229;452867;508713;553993;591031;629727;623544;667791;719973;813424;902572;963966;1055774;1115690;1248612;1471305;1392565;1424143;1539304;1796706;2026418;2243538;2379280;2560143;1978447;2360183;2682456;2759851;2764210;2879362;2792433;2739686;2930093;3138164;3125221;2771963
20;        Goods;4463;3104;2120;1343;1510;1763;2462;2546;3181;2173;2409;2698;3416;2744;3442;3813;3893;5067;5973;7557;6874;9081;11176;10838;10975;10353;11527;12803;13291;12951;15310;15220;15053;16869;17713;19392;22247;26334;27761;33946;36813;40855;46550;56934;71843;104520;99000;124632;152629;177409;212787;248570;267814;250542;272677;336316;343295;370006;414768;452125;484792;508071;500720;544927;592761;676812;757449;807448;885654;930751;1051210;1250105;1173773;1194371;1291341;1507346;1715464;1895719;1999662;2144269;1585371;1944815;2240535;2301396;2296372;2391555;2288060;2221080;2376877;2565567;2525634;2308563
21;        Services;1093;1017;785;589;419;476;520;608;780;672;727;728;1033;1883;2838;3091;3654;1907;1960;2503;2375;2531;3410;4457;5039;5079;5672;6120;6651;7071;7018;7621;7635;8096;8422;8713;9282;10723;12151;12610;13678;14905;15792;17282;19316;22945;23730;26514;29814;34840;39887;45258;49944;52642;55961;68791;73934;82861;93945;101869;106239;121657;122824;122864;127212;136612;145123;156518;170120;184939;197402;221199;218792;229772;247962;289360;310954;347818;379618;415874;393076;415368;441921;458455;467838;487807;504374;518606;553216;572597;599587;463400
22;Government consumption expenditures and gross investment;9622;10273;10169;8946;8875;10721;11151;13398;13119;14170;15165;15562;27836;65440;98023;108643;96396;43027;39827;43755;49808;50515;73304;89583;96765;92467;92958;98180;107163;114138;118458;120520;129237;140287;147193;154763;164053;185444;207018;225526;238984;252581;267468;286189;304765;341370;381128;404153;434331;476336;524802;589598;654381;711473;766557;827910;910516;976076;1031530;1078855;1151862;1238556;1298951;1344500;1364922;1402274;1449431;1492848;1547133;1611609;1720360;1826845;1949275;2088717;2211208;2338889;2475992;2624234;2790844;2981990;3073512;3154647;3148372;3137010;3132409;3167985;3230231;3299284;3407015;3595161;3747874;3831311
23;    Federal;1907;2017;2067;2006;2458;3457;3569;5777;5291;5915;6237;6837;19109;56699;89488;100086;87222;31986;25736;27041;30423;29418;49947;64815;70274;63255;61015;63115;68453;71521;73579;72875;77379;85518;87875;90256;93196;106575;120006;127963;131193;132805;134478;141646;146185;158835;173729;184800;200339;218922;240574;274870;313980;348336;382357;411805;452909;481658;502785;511440;534104;562377;582936;588453;580169;574684;576682;579159;583289;585515;611347;633702;670052;742984;826261;891745;947462;1000691;1050508;1150585;1218189;1297919;1298930;1286540;1226578;1215002;1220792;1234705;1263858;1339449;1419151;1484451
24;        National defense;1056;1090;1081;1051;999;944;1174;1401;1448;1513;1667;2791;15368;53491;86801;97272;84786;27995;21072;20887;22341;22649;43689;57413;61134;54448;52363;54958;59941;62220;60945;60901;64543;69701;70002;69728;70583;82471;95034;101357;102067;100710;97995;100714;102635;109894;117976;124952;134408;145181;160587;183405;213372;245404;272055;298764;329501;352359;372385;382101;391228;405007;414041;406465;391646;382114;377159;377261;371990;368753;383254;392570;413162;458932;521221;569878;609437;640814;679264;750336;787565;827971;833978;814175;764221;743418;729748;728681;747214;794346;852405;885587
25;        Nondefense;851;926;986;955;1459;2512;2395;4376;3843;4402;4570;4046;3741;3207;2687;2814;2435;3991;4663;6154;8082;6769;6258;7402;9140;8807;8653;8156;8513;9301;12633;11974;12836;15818;17873;20528;22613;24104;24972;26606;29126;32095;36483;40932;43550;48940;55753;59848;65931;73741;79987;91465;100608;102932;110302;113041;123408;129298;130400;129339;142876;157370;168896;181988;188523;192570;199523;201898;211299;216763;228093;241133;256890;284052;305040;321866;338025;359877;371244;400249;430624;469948;464953;472365;462357;471584;491044;506024;516644;545104;566746;598864
26;    State and local;7714;8256;8102;6940;6417;7264;7582;7622;7828;8256;8929;8725;8727;8742;8534;8558;9174;11041;14091;16714;19385;21097;23356;24768;26490;29212;31943;35065;38710;42617;44879;47645;51858;54768;59318;64507;70858;78869;87012;97563;107791;119776;132990;144544;158580;182536;207399;219353;233992;257414;284228;314728;340401;363137;384200;416106;457607;494418;528745;567416;617758;676179;716014;756047;784753;827591;872749;913688;963844;1026093;1109012;1193142;1279223;1345733;1384947;1447145;1528530;1623543;1740336;1831405;1855323;1856728;1849442;1850471;1905831;1952983;2009439;2064579;2143157;2255712;2328723;2346860
