,pib,c,c_growth,pc,k,k_growth,pk,s,s_growth,ps,sp500_ret_real,TBill_ret_real
1954-01-01,26456.917267421904,6032.108178947996,0.00964597426923941,16.787,612.5753853026581,-0.030678518503507002,53.724,9916.72395168418,0.009418216656301714,10.183,0.05458792475831764,-0.0018412238956434512
1954-04-01,26461.143092105263,6016.150100938131,-0.0026455225165818996,16.842,642.4057279236276,0.04869660671434106,52.375,10086.739194354603,0.017144295182437652,10.203,0.11622441586685772,0.005775557327318825
1954-07-01,26819.123396666437,6092.160953800299,0.012634467489485601,16.775,645.1005512850376,0.004194893109250586,51.516000000000005,10260.63985911359,0.017240523563483823,10.221,0.036534147633609626,0.009413362444616657
1954-10-01,27382.792163310045,6194.585853746183,0.0168125728657893,16.697,684.6431709460119,0.06129683129584307,51.215,10384.607890891379,0.012081900688452718,10.265,0.13727798788077927,0.007692379548501105
1955-01-01,28190.33644987375,6259.10397700048,0.010415244017528691,16.695999999999998,745.8426312215,0.08938884206049291,51.535,10506.538796861378,0.011741503121841301,10.323,0.08200459276261429,0.0016266268312115084
1955-04-01,28607.533084492705,6374.459394521865,0.018430020965503502,16.648,786.0853109853824,0.053955992965935895,51.787,10582.432432432433,0.0072234669322048806,10.36,0.031566457182992336,0.004541485138740642
1955-07-01,28998.44971690483,6417.161716171618,0.00669897147457732,16.665,811.4192807957154,0.032228015784414143,52.28,10691.516956479969,0.01030807659241173,10.409,0.13874683424206102,0.0013015322936249518
1955-10-01,29266.28724472715,6547.343140198138,0.020286449022853148,16.655,790.0379633339057,-0.026350516887942543,52.419,10904.307133989114,0.019902711502522097,10.470999999999998,0.04539802586269248,0.005553469223887442
1956-01-01,29157.008354329664,6621.203953279425,0.011281035910247317,16.695,753.9862027024459,-0.04563294715525301,52.619,11008.35548803646,0.009541950054123616,10.532,0.0013744461425277965,0.002955084779331152
1956-04-01,29296.505517603782,6604.807121661721,-0.0024764124067773174,16.85,755.1202306000151,0.0015040433014616994,52.732,11114.331570996977,0.009626876882354418,10.592,-0.006508632454655827,-0.0010634985641789774
1956-07-01,29313.344594594593,6608.981895132847,0.0006320810576638802,17.012,741.8589000635585,-0.017561879551179826,53.494,11230.970882876136,0.010494496329723546,10.681,0.03940360514010521,-0.004436835161852337
1956-10-01,29732.227029121197,6662.134442946727,0.008042471390793837,17.063,765.7403306761146,0.03219133801658236,54.192,11378.373348222596,0.013124641394200776,10.745999999999999,-0.04529194031750816,0.0018146422008495922
1957-01-01,29990.99846782431,6702.107891527786,0.006000096354011442,17.221,779.7649557003734,0.018315118666762276,54.628,11423.459977867944,0.003962484642182185,10.844000000000001,-0.057096162266518924,-0.0012144786831403964
1957-04-01,29924.242424242424,6727.445997458704,0.0037806174327554842,17.314,761.4249860065363,-0.0235198691089733,55.383,11521.615419917394,0.008592444166620083,10.895,0.07474903319090598,6.617975021083744e-05
1957-07-01,30164.19224962255,6820.950965824665,0.013899029200870938,17.498,756.1847665137781,-0.006882121796713991,55.378,11605.478704040772,0.007278778284719012,10.988,-0.04817198875286666,0.00046330478031308964
1957-10-01,29699.418350115702,6776.639344262296,-0.006496399370760186,17.567999999999998,747.3416717730598,-0.011694357162849722,55.486000000000004,11730.960339687414,0.010812275723098841,11.069,-0.09291475374124214,0.004736027050763925
1958-01-01,28998.325373689757,6715.710443747199,-0.008991020094153979,17.848,697.6200594985125,-0.06653129907313116,56.472,11714.644426508834,-0.0013908420714185965,11.151,-0.02160696670092077,-0.011786497095568449
1958-04-01,29148.838932806324,6776.814673973828,0.00909869934662244,17.882,686.9232820695173,-0.015333242333491204,56.245,11885.61215370867,0.014594359075291718,11.19,0.07682522638869127,0.0019349283547238638
1958-07-01,29932.906167210895,6900.717971729863,0.018283412446246095,17.828,701.1711102409852,0.02074151298023108,56.18600000000001,12050.435865504358,0.013867498759351449,11.242,0.08599692909658674,0.006670461823325313
1958-10-01,30739.95446434066,6995.546033714832,0.013741767504982905,17.737000000000002,726.8424248919372,0.03661205414200408,55.986000000000004,12131.450827653358,0.006722990193318568,11.297,0.10291131814771992,0.011429645837892632
1959-01-01,31256.813866601333,7085.99370503597,0.012929322584002367,17.792,766.2693327247512,0.05424409264315533,56.963,12282.524613220816,0.012453068286201185,11.376,0.05070759327802299,0.0002260736675316899
1959-04-01,31921.63928418738,7144.574928358712,0.008267185346369832,17.797,795.106766233539,0.037633547732160766,57.181000000000004,12466.236258942594,0.014957156733399257,11.462,0.050759831107226594,0.00619443187570079
1959-07-01,31930.547953536465,7172.159122699043,0.003860858709850312,17.873,810.4808381871927,0.019335858536937645,57.17100000000001,12635.12228847982,0.0135474754391951,11.571,0.000942591928471348,0.005545197902177668
1959-10-01,32022.778215302595,7216.332218506131,0.006158967620682798,17.94,771.7600531970742,-0.047775077664668264,57.146,12788.22924698021,0.01211756839425182,11.673,-0.0055195800294557396,0.007768448724259525
1960-01-01,32812.19010763091,7234.44041306168,0.002509334937367713,17.915,796.5896743892608,0.03217272141688099,57.062,12904.392324093817,0.009083593582046356,11.725,-0.04445710631173283,0.010937632772922035
1960-04-01,32601.07248297885,7313.695061796819,0.010955187161683533,18.043,814.7173386672281,0.022756589572750396,56.994,13047.162609211975,0.011063696881843166,11.789000000000001,-0.007091626229259296,0.0023718242890102825
1960-07-01,32731.65756794049,7270.818367685251,-0.0058625214408424275,18.097,808.2013375571981,-0.00799786723661644,56.82,13031.858407079646,-0.0011729908326215677,11.865,0.02001436752735697,0.004414369496991144
1960-10-01,32265.977780432444,7275.839331831418,0.0006905638254535162,18.199,787.891609809418,-0.02512953988565103,56.721000000000004,13157.890323662588,0.00967106245679239,11.925999999999998,-0.03497485571918679,0.00196619670844167
1961-01-01,32515.093664240543,7319.269175902557,0.005969049355053269,18.226,744.5795875198309,-0.054972056752912835,56.73,13287.446683950822,0.00984628668436649,11.957,0.14560313384558077,0.004584716900735586
1961-04-01,33077.9994045847,7417.260622133819,0.01338814625835627,18.099,760.026667602372,0.020746042923355912,56.998000000000005,13480.806062120077,0.014552034169424077,12.009,0.05367290270466163,0.009848282160994426
1961-07-01,33729.29292929293,7423.119347010809,0.0007898771764209833,18.132,778.5811589646861,0.024412947799380857,57.258,13521.962539366818,0.0030529685730282807,12.065999999999999,0.02188425273945116,0.003168357477093764
1961-10-01,34418.8748592092,7523.870040888496,0.013572554766785094,18.098,816.3218913389408,0.04847372934690619,57.187,13762.13271706834,0.017761488171728734,12.116,0.05442122716274955,0.007789858042723807
1962-01-01,35038.813189406006,7586.108206285431,0.008272094687800546,18.169,834.0239531427573,0.021685148948757726,57.195,13890.785262985146,0.009348300046347235,12.187000000000001,-0.024897082697430295,0.003761566632866531
1962-04-01,35315.64705882353,7616.237580282154,0.0039716509674565526,18.217,856.4319265222023,0.026867301946194244,57.269,14099.787685774949,0.015046120059658108,12.245999999999999,-0.1560535765365102,0.004419076154535961
1962-07-01,35741.02112676056,7675.349602412943,0.007761315414296588,18.235,862.6799171554379,0.007295373327110166,57.457,14218.805921587766,0.00844113673661151,12.294,-0.01538691601052622,0.005414732395924382
1962-10-01,35845.67648264153,7718.330605564649,0.005599875624973993,18.33,900.649986021806,0.04401408692991127,57.232,14397.567896230239,0.012572221298208008,12.335,0.05481477217041819,0.004187762354557645
1963-01-01,36217.41916690941,7760.841141860973,0.005507737160892701,18.355999999999998,918.5851528384279,0.01991358140784749,57.25,14461.513635630143,0.0044414264868060105,12.394,0.03368363834105326,0.006039921570653473
1963-04-01,36656.11175785797,7787.272330679463,0.0034057118726376068,18.338,938.2847191989553,0.021445552760847253,57.425,14616.5848950374,0.010723031026655061,12.433,0.10268559375103559,0.007158363953653213
1963-07-01,37469.852898424324,7858.2796513831,0.009118381596068037,18.473,949.8845225484919,0.012362775511722823,57.586999999999996,14870.631612696377,0.017380716458961,12.475999999999999,0.021660016373233892,0.0020365039415271013
1963-10-01,37775.865056900235,7848.676391139924,-0.0012220563112036453,18.51,964.8767483728016,0.01578320887268103,57.768,15074.242424242426,0.013692142798575446,12.54,0.011378895594401417,0.006241356968172518
1964-01-01,38548.68784530387,7982.976209655765,0.01711114228985755,18.621,1002.4718246560188,0.03896360477814276,57.852,15313.516945789348,0.015873071084628432,12.599,0.05351869215113392,0.0039521112074325515
1964-04-01,38943.82280369542,8135.306440350218,0.01908188458712967,18.617,1028.6761908056314,0.02613975326299478,57.818000000000005,15528.31529894953,0.014026716000026695,12.661,0.02778471357543033,0.00889639210044324
1964-07-01,39515.274367612634,8294.16805012585,0.019527427877541026,18.673,1062.7120991758432,0.03308709647839292,57.756,15735.24094017766,0.013325698071195768,12.720999999999998,0.02392921210835608,0.006759232555845207
1964-10-01,39647.43006595406,8309.776521414475,0.0018818609888651139,18.749000000000002,1030.1174511198626,-0.030671193149356624,57.641000000000005,15952.645585472761,0.013816416673988696,12.776,0.01422666117689042,0.006674130982918802
1965-01-01,40633.455986413814,8388.812081250666,0.009511153474767386,18.805999999999997,1126.0190806591502,0.0930977622357827,57.65,16135.531135531137,0.011464277136885803,12.831,0.041969671073539105,0.007348046963349786
1965-04-01,41144.47512255592,8468.605141171513,0.009511842576517715,18.984,1127.8580128762833,0.001633127047950822,57.47,16378.705571938539,0.015070742596871911,12.886,0.0110058834883342,0.003737415862982374
1965-07-01,42030.68207314337,8595.40025146689,0.014972372448792237,19.088,1166.4101846670399,0.03418175989408456,57.184,16602.455219271156,0.013661009189637419,12.952,-0.019914390113385028,0.007026844162658641
1965-10-01,43012.37113402062,8914.588887146516,0.03713481936168739,19.131,1215.5304295837802,0.042112325117224625,56.869,16883.918981126284,0.016953140854035986,13.034,0.0496730767390865,0.010265834303347487
1966-01-01,44075.2187880802,8979.471838250465,0.007278288648565834,19.387999999999998,1273.2555068406318,0.04748961922460282,56.793,17059.09264201296,0.010375177770190369,13.115,-0.024632510142354236,0.002191552081258985
1966-04-01,44186.024810626855,9064.954991816694,0.009519842047066795,19.552,1222.38196258569,-0.03995548731705545,57.037,17244.427653947867,0.010864294826470555,13.235,-0.05088664391666642,0.003942953644610059
1966-07-01,44598.8682119926,9130.478947635736,0.007228271500321126,19.689,1262.4238510010648,0.03275726380212185,57.288999999999994,17386.59678023212,0.008244351690716023,13.355,-0.10318990392320548,0.006054033076231757
1966-10-01,44975.28065630398,9105.28972339996,-0.0027588064525683187,19.812,1261.9242063561014,-0.0003957820066272655,57.551,17576.746255375947,0.0109365551837044,13.485999999999999,0.02470856890183626,0.006934519702720632
1967-01-01,45373.28675087342,9207.603372545058,0.011236726370404293,19.807000000000002,1238.020615684636,-0.018942176202871086,57.431999999999995,17737.590219472677,0.00915095215916506,13.578,0.09578811744247973,0.011904629471635175
1967-04-01,45358.92504140621,9276.187115636656,0.007448598763072134,19.838,1291.2246030095,0.04297504149027587,57.684,17909.848651019962,0.009711490084948204,13.677,0.026635094185792685,0.00660249358915399
1967-07-01,45815.885623510716,9267.534670258407,-0.0009327588232522777,20.046,1280.8470507544582,-0.008036984604269826,58.32,18154.454439930352,0.013657613399008728,13.784,0.027310572824025714,-5.313157502950805e-05
1967-10-01,46163.140253482765,9308.95396660225,0.004469289602634818,20.180999999999997,1284.0482778522808,0.0024993047342669605,58.909,18305.763150330557,0.008334522576861625,13.915999999999999,0.0010607315567263687,0.003954445640192983
1968-01-01,47113.6151694125,9491.662579695929,0.019627190525292493,20.39,1363.7651582870924,0.06208246357227876,59.291000000000004,18594.462193823216,0.015770937333877022,14.085,-0.0656703963159434,0.0031236822689317822
1968-04-01,47868.4358829858,9608.366127386678,0.012295374673389148,20.583000000000002,1392.811640850265,0.021298742226011358,59.652,18883.190683316963,0.0155276601433334,14.254000000000001,0.11262900120049157,0.004971996493583486
1968-07-01,48250.53283263981,9761.357074109721,0.01592268078617165,20.78,1455.4689188515188,0.04498618202458715,60.148999999999994,19123.10146334697,0.012704991653871511,14.419,-0.015768692016036256,0.0035082781118798145
1968-10-01,48449.94994994995,9763.632899938086,0.00023314645812932966,20.997,1446.9340011203005,-0.005864032972928701,60.698,19332.87652459915,0.010969719616572116,14.594000000000001,0.0777900269148446,0.0036228022713060692
1969-01-01,49223.83548067394,9872.080930320506,0.01110734410990677,21.154,1474.3333551726398,0.018936146383404573,61.052,19501.962642122362,0.008746040316766512,14.776,-0.09639755641399061,0.007848498543631122
1969-04-01,49350.484202288964,9893.98107137862,0.0022183915643205765,21.449,1470.4600877906032,-0.0026271313529245832,61.51,19743.122329059832,0.012365918823810551,14.975999999999999,0.03394294137618492,0.0031140988296449734
